組別1,組別2,梯退,零退,遷入
防災救護組,消防役,2661,20,563
治安維護組,保安警力,2116,34,753
治安維護組,交通助理,914,4,211
治安維護組,社區巡守,1385,4,312
治安維護組,矯正機關勤務,1793,6,435
治安維護組,收容處所警衛,100,0,31
治安維護組,安全維護,746,2,155
社會服務組,社會役,2712,9,592
社會服務組,環境保育,785,5,204
社會服務組,水利維護,430,1,86
社會服務組,醫療役,480,1,132
社會服務組,教育服務役,4422,14,893
社會服務組,農業服務役,271,0,25
公共服務組,文化服務役,580,2,122
公共服務組,司法行政役,1875,13,443
公共服務組,土地測量役,90,0,27
公共服務組,外交役,136,0,31
公共服務組,經濟安全役,86,0,15
公共服務組,觀光服務役,490,0,101
公共服務組,公共行政役,4290,445,836
公共服務組,體育役,209,0,108
公共服務組,研發替代役,2162,4,327
公共服務組,產業訓儲替代役,0,0,0
其他,,161,1887,409
