Date,Open,Max,Min,Close,Diff
109/01/02,332.50,339.00,332.50,339.00,+8.00
109/01/03,344.00,345.00,335.50,339.50,+0.50
109/01/06,333.00,334.50,332.00,332.00,-7.50
109/01/07,332.50,333.00,326.50,329.50,-2.50
109/01/08,325.00,333.00,325.00,329.50, 0.00
109/01/09,335.00,337.50,333.50,337.50,+8.00
109/01/10,340.50,341.00,336.00,339.50,+2.00
109/01/13,342.00,342.00,339.00,341.50,+2.00
109/01/14,345.50,346.00,344.50,346.00,+4.50
109/01/15,345.00,345.00,337.50,340.00,-6.00
109/01/16,330.00,336.50,330.00,334.50,-5.50
109/01/17,334.00,335.50,332.00,333.00,-1.50
109/01/20,334.00,335.50,333.00,333.00, 0.00
109/01/30,326.00,326.00,316.50,316.50,-16.50
109/01/31,323.00,323.50,319.00,320.00,+3.50
109/02/03,315.00,316.50,312.00,315.00,-5.00
109/02/04,319.00,326.00,318.00,325.00,+10.00
109/02/05,329.00,329.50,324.50,327.50,+2.50
109/02/06,329.50,332.50,329.00,332.50,+5.00
109/02/07,330.00,330.50,326.00,328.00,-4.50
109/02/10,321.50,328.00,321.00,327.50,-0.50
109/02/11,330.50,332.50,330.00,331.50,+4.00
109/02/12,333.50,336.00,333.00,335.00,+3.50
109/02/13,338.00,338.00,335.00,335.00, 0.00
109/02/14,337.00,337.00,334.50,335.00, 0.00
109/02/17,331.50,333.00,330.50,331.50,-3.50
109/02/18,324.50,326.50,322.00,322.00,-9.50
109/02/19,322.50,327.00,322.00,326.50,+4.50
109/02/20,328.00,329.00,325.00,325.50,-1.00
109/02/21,325.50,326.50,323.00,325.00,-0.50
109/02/24,319.50,321.50,319.50,320.00,-5.00
109/02/25,320.00,323.50,317.50,322.00,+2.00
109/02/26,317.00,320.50,316.50,318.50,-3.50
109/02/27,319.00,320.00,315.00,316.00,-2.50
109/03/02,308.00,317.00,308.00,311.00,-5.00
109/03/03,318.50,320.00,316.00,317.50,+6.50
109/03/04,322.00,322.00,317.00,320.50,+3.00
109/03/05,325.00,326.00,323.00,323.00,+2.50
109/03/06,320.00,320.50,315.00,315.00,-8.00
109/03/09,307.50,310.00,305.50,305.50,-9.50
109/03/10,301.50,309.00,301.00,307.00,+1.50
109/03/11,309.00,310.50,302.00,302.00,-5.00
109/03/12,299.00,299.00,287.00,294.00,-8.00
109/03/13,275.00,294.00,272.50,290.00,-4.00
109/03/16,285.00,291.00,275.50,276.50,-13.50
109/03/17,265.00,276.50,265.00,268.00,-8.50
109/03/18,269.50,272.50,260.00,260.00,-8.00
109/03/20,258.50,270.00,256.00,270.00,+22.00
109/03/23,257.00,262.50,252.00,255.00,-15.00
109/03/24,268.00,274.00,266.00,267.50,+12.50
109/03/25,276.50,280.00,274.00,277.00,+9.50
109/03/26,279.50,280.00,275.50,280.00,+3.00
109/03/27,284.00,286.00,273.00,273.00,-7.00
109/03/30,263.50,269.00,262.50,267.50,-5.50
109/03/31,273.00,274.00,269.50,274.00,+6.50
109/04/01,276.50,276.50,271.50,271.50,-2.50
109/04/06,273.00,275.50,270.00,275.50,+4.00
109/04/07,283.50,284.00,280.50,283.00,+7.50
109/04/08,285.00,285.50,283.00,285.00,+2.00
109/04/09,287.50,288.00,282.50,283.00,-2.00
109/04/10,280.00,282.00,279.00,279.50,-3.50
109/04/13,278.50,281.50,278.50,278.50,-1.00
109/04/14,281.00,285.50,280.00,285.00,+6.50
109/04/15,287.00,288.50,286.00,287.50,+2.50
109/04/16,283.00,288.50,283.00,286.50,-1.00
109/04/17,303.50,308.50,300.50,306.50,+20.00
109/04/20,308.00,309.00,302.50,304.00,-2.50
109/04/21,300.50,301.50,293.50,295.00,-9.00
109/04/22,294.50,295.00,290.50,294.00,-1.00
109/04/23,300.00,300.00,294.00,295.50,+1.50
109/04/24,295.50,297.00,294.00,294.00,-1.50
109/04/27,298.00,298.50,296.00,298.00,+4.00
109/04/28,298.50,298.50,294.50,296.50,-1.50
109/04/29,299.00,301.50,298.00,299.00,+2.50
109/04/30,302.00,305.00,301.50,304.50,+5.50
109/05/04,294.50,296.50,294.00,295.00,-9.50
109/05/05,296.50,298.00,295.00,295.50,+0.50
109/05/06,294.50,296.00,292.50,296.00,+0.50
109/05/07,294.50,299.00,294.50,297.50,+1.50
109/05/08,300.00,300.00,296.00,297.50, 0.00
109/05/11,300.00,301.50,298.50,301.00,+3.50
109/05/12,297.50,298.50,295.00,295.00,-6.00
109/05/13,293.00,297.00,292.50,297.00,+2.00
109/05/14,293.00,295.00,292.50,293.00,-4.00
109/05/15,297.50,298.50,294.50,298.00,+5.00
109/05/18,291.00,293.50,290.00,290.00,-8.00
109/05/19,294.00,294.00,291.50,291.50,+1.50
109/05/20,293.00,294.00,291.00,294.00,+2.50
109/05/21,296.00,298.00,295.00,297.50,+3.50
109/05/22,294.50,295.00,291.00,292.00,-5.50
109/05/25,290.50,293.00,288.50,292.00, 0.00
109/05/26,295.00,297.50,293.50,295.50,+3.50
109/05/27,297.00,298.00,295.50,296.50,+1.00
109/05/28,298.50,298.50,293.00,294.00,-2.50
109/05/29,292.00,292.50,290.00,292.00,-2.00
109/06/01,294.00,296.50,293.50,295.50,+3.50
109/06/02,296.00,297.50,296.00,296.50,+1.00
109/06/03,300.00,301.00,298.00,301.00,+4.50
109/06/04,305.00,306.00,304.00,306.00,+5.00
109/06/05,308.50,312.00,308.00,311.50,+5.50
109/06/08,316.00,319.00,315.00,318.00,+6.50
109/06/09,316.50,319.00,314.00,319.00,+1.00
109/06/10,319.00,324.00,318.00,322.50,+3.50
109/06/11,325.50,327.00,318.50,320.50,-2.00
109/06/12,313.00,317.50,312.50,316.00,-4.50
109/06/15,316.00,317.50,308.50,309.50,-6.50
109/06/16,317.00,317.00,314.00,315.00,+5.50
109/06/17,316.50,317.00,313.50,315.00, 0.00
109/06/19,314.00,314.50,312.00,314.50, 0.00
109/06/22,314.50,316.50,312.00,312.00,-2.50
109/06/23,316.00,316.50,312.50,315.00,+3.00
109/06/24,319.00,320.00,316.00,317.50,+2.50
109/06/29,314.00,315.00,310.00,312.00,-5.50
109/06/30,313.50,314.00,311.00,313.00,+1.00
109/07/01,315.00,318.00,314.00,317.50,+4.50
109/07/02,319.00,322.00,318.00,322.00,+4.50
109/07/03,327.00,330.50,326.50,329.50,+7.50
109/07/06,332.50,338.00,332.00,338.00,+8.50
109/07/07,343.50,346.00,338.00,338.50,+0.50
109/07/08,337.50,342.50,337.50,341.00,+2.50
109/07/09,346.00,347.00,343.00,345.00,+4.00
109/07/10,352.50,353.00,345.50,348.50,+3.50
109/07/13,351.00,354.50,350.50,354.50,+6.00
109/07/14,355.00,364.00,354.50,363.50,+9.00
109/07/15,366.00,370.00,361.00,363.00,-0.50
109/07/16,359.00,361.00,353.50,357.50,-5.50
109/07/17,361.00,369.00,360.00,367.00,+9.50
109/07/20,370.00,370.00,362.50,366.00,-1.00
109/07/21,372.50,387.00,371.50,383.00,+17.00
109/07/22,381.00,386.00,379.00,384.00,+1.00
109/07/23,382.00,383.00,379.00,381.50,-2.50
109/07/24,390.00,395.00,382.00,386.00,+4.50
109/07/27,420.50,424.50,416.50,424.50,+38.50
109/07/28,464.00,466.50,428.50,435.00,+10.50
109/07/29,428.00,431.50,419.50,422.00,-13.00
109/07/30,436.50,441.00,428.50,434.00,+12.00
109/07/31,426.00,432.00,425.50,425.50,-8.50
109/08/03,420.50,424.00,415.00,416.00,-9.50
109/08/04,421.50,425.50,418.50,425.50,+9.50
109/08/05,430.50,433.50,426.00,429.00,+3.50
109/08/06,437.50,438.00,431.00,435.00,+6.00
109/08/07,433.50,434.00,428.00,433.00,-2.00
109/08/10,427.50,437.50,427.50,435.50,+2.50
109/08/11,432.00,435.00,429.00,429.00,-6.50
109/08/12,422.00,423.50,419.00,419.00,-10.00
109/08/13,428.00,429.00,424.50,429.00,+10.00
109/08/14,424.00,428.00,423.00,427.00,-2.00
109/08/17,427.00,435.00,425.50,435.00,+8.00
109/08/18,440.00,440.50,432.00,433.00,-2.00
109/08/19,436.00,436.50,427.50,427.50,-5.50
109/08/20,427.00,427.50,401.00,415.00,-12.50
109/08/21,421.50,427.00,420.00,424.50,+9.50
109/08/24,427.50,434.50,425.00,428.00,+3.50
109/08/25,433.50,436.00,430.50,434.50,+6.50
109/08/26,435.50,442.00,435.00,442.00,+7.50
109/08/27,448.00,453.50,444.00,444.00,+2.00
109/08/28,440.00,440.50,431.00,435.00,-9.00
109/08/31,437.00,439.50,426.50,426.50,-8.50
109/09/01,430.00,435.00,428.00,435.00,+8.50
109/09/02,441.00,441.00,430.50,433.00,-2.00
109/09/03,439.50,439.50,433.50,436.00,+3.00
109/09/04,427.00,432.50,427.00,429.00,-7.00
109/09/07,428.00,432.50,425.00,426.00,-3.00
109/09/08,428.00,433.00,427.50,431.00,+5.00
109/09/09,425.00,428.00,423.00,427.00,-4.00
109/09/10,432.50,435.00,430.50,435.00,+8.00
109/09/11,435.50,436.50,432.50,436.50,+1.50
109/09/14,436.00,442.00,435.50,441.00,+4.50
109/09/15,440.50,447.00,439.50,445.00,+4.00
109/09/16,460.00,462.00,455.50,458.00,+13.00
109/09/18,447.00,449.50,443.00,444.00,-4.50
109/09/21,443.50,450.00,440.00,440.00,-4.00
109/09/22,440.00,441.00,436.00,437.00,-3.00
109/09/23,436.00,438.50,432.00,433.50,-3.50
109/09/24,425.50,429.00,423.00,423.00,-10.50
109/09/25,427.00,428.00,421.00,424.00,+1.00
109/09/28,427.00,431.50,424.50,431.50,+7.50
109/09/29,432.50,435.00,428.00,431.00,-0.50
109/09/30,430.50,435.00,430.50,433.00,+2.00
109/10/05,438.00,438.00,431.50,432.50,-0.50
109/10/06,441.50,442.00,437.50,439.50,+7.00
109/10/07,435.00,445.00,435.00,443.00,+3.50
109/10/08,450.00,454.00,448.50,453.00,+10.00
109/10/12,458.00,462.00,457.50,460.00,+7.00
109/10/13,465.00,465.00,456.50,462.00,+2.00
109/10/14,460.50,461.00,457.00,459.00,-3.00
109/10/15,456.00,456.50,450.00,453.00,-6.00
109/10/16,451.00,456.00,448.50,449.00,-4.00
109/10/19,453.00,457.50,451.00,457.50,+8.50
109/10/20,455.50,457.00,451.00,451.00,-6.50
109/10/21,453.50,456.00,451.00,453.00,+2.00
109/10/22,450.00,455.00,449.50,455.00,+2.00
109/10/23,458.00,458.00,451.50,452.00,-3.00
109/10/26,455.00,455.00,450.00,450.00,-2.00
109/10/27,447.50,448.50,445.50,447.00,-3.00
109/10/28,445.00,447.00,443.00,444.00,-3.00
109/10/29,436.50,439.50,435.50,437.00,-7.00
109/10/30,437.00,437.00,432.00,432.00,-5.00
109/11/02,433.00,435.50,428.00,435.50,+3.50
109/11/03,439.50,443.00,438.00,441.00,+5.50
109/11/04,444.50,451.50,443.00,450.00,+9.00
109/11/05,451.50,451.50,445.50,451.00,+1.00
109/11/06,455.00,455.50,450.00,452.50,+1.50
109/11/09,458.00,460.00,454.00,458.50,+6.00
109/11/10,452.00,454.50,448.50,451.00,-7.50
109/11/11,448.50,457.00,448.50,457.00,+6.00
109/11/12,463.00,463.50,457.50,458.00,+1.00
109/11/13,459.00,462.00,456.50,462.00,+4.00
109/11/16,470.00,484.50,469.00,484.00,+22.00
109/11/17,502.00,506.00,485.50,485.50,+1.50
109/11/18,490.00,497.00,486.50,497.00,+11.50
109/11/19,499.00,499.00,490.00,490.00,-7.00
109/11/20,486.00,490.00,486.00,488.00,-2.00
109/11/23,494.50,498.50,492.00,496.50,+8.50
109/11/24,499.50,500.00,491.50,492.00,-4.50
109/11/25,495.00,495.50,487.00,487.00,-5.00
109/11/26,489.00,493.50,488.00,489.00,+2.00
109/11/27,487.50,492.00,486.50,489.00, 0.00
109/11/30,493.00,493.50,480.50,480.50,-8.50
109/12/01,489.50,490.00,483.50,490.00,+9.50
109/12/02,499.50,500.00,493.50,499.00,+9.00
109/12/03,499.50,499.50,495.00,497.00,-2.00
109/12/04,498.50,505.00,497.50,503.00,+6.00
109/12/07,512.00,515.00,506.00,514.00,+11.00
109/12/08,514.00,525.00,509.00,524.00,+10.00
109/12/09,521.00,524.00,520.00,520.00,-4.00
109/12/10,511.00,515.00,510.00,512.00,-8.00
109/12/11,517.00,517.00,505.00,516.00,+4.00
109/12/14,512.00,513.00,508.00,508.00,-8.00
109/12/15,507.00,510.00,504.00,504.00,-4.00
109/12/16,509.00,515.00,507.00,512.00,+8.00
109/12/18,508.00,512.00,507.00,510.00,+2.00
109/12/21,512.00,517.00,508.00,516.00,+6.00
109/12/22,512.00,516.00,509.00,509.00,-7.00
109/12/23,508.00,511.00,506.00,509.00, 0.00
109/12/24,511.00,512.00,508.00,510.00,+1.00
109/12/25,514.00,515.00,510.00,511.00,+1.00
109/12/28,512.00,515.00,509.00,515.00,+4.00
109/12/29,515.00,517.00,513.00,515.00, 0.00
109/12/30,516.00,525.00,514.00,525.00,+10.00
109/12/31,526.00,530.00,524.00,530.00,+5.00
110/01/04,530.00,540.00,528.00,536.00,+6.00
110/01/05,536.00,542.00,535.00,542.00,+6.00
110/01/06,555.00,555.00,541.00,549.00,+7.00
110/01/07,554.00,570.00,553.00,565.00,+16.00
110/01/08,580.00,580.00,571.00,580.00,+15.00
110/01/11,577.00,584.00,574.00,584.00,+4.00
110/01/12,583.00,597.00,582.00,591.00,+7.00
110/01/13,595.00,605.00,593.00,605.00,+14.00
110/01/14,587.00,597.00,587.00,592.00,-13.00
110/01/15,621.00,625.00,601.00,601.00,+9.00
110/01/18,608.00,608.00,594.00,607.00,+6.00
110/01/19,618.00,632.00,613.00,627.00,+20.00
110/01/20,633.00,650.00,631.00,647.00,+20.00
110/01/21,640.00,679.00,640.00,673.00,+26.00
110/01/22,649.00,665.00,649.00,649.00,-24.00
110/01/25,642.00,646.00,626.00,633.00,-16.00
110/01/26,632.00,640.00,610.00,617.00,-16.00
110/01/27,618.00,625.00,611.00,615.00,-2.00
110/01/28,600.00,608.00,598.00,601.00,-14.00
110/01/29,619.00,619.00,591.00,591.00,-10.00
110/02/01,595.00,612.00,587.00,611.00,+20.00
110/02/02,629.00,638.00,622.00,632.00,+21.00
110/02/03,638.00,642.00,630.00,630.00,-2.00
110/02/04,626.00,632.00,620.00,627.00,-3.00
110/02/05,638.00,641.00,631.00,632.00,+5.00
110/02/17,663.00,668.00,660.00,663.00,+31.00
110/02/18,664.00,665.00,656.00,660.00,-3.00
110/02/19,656.00,657.00,647.00,652.00,-8.00
110/02/22,660.00,662.00,650.00,650.00,-2.00
110/02/23,641.00,643.00,633.00,641.00,-9.00
110/02/24,627.00,636.00,625.00,625.00,-16.00
110/02/25,636.00,636.00,628.00,635.00,+10.00
110/02/26,611.00,618.00,606.00,606.00,-29.00
110/03/02,621.00,622.00,609.00,609.00,+3.00
110/03/03,609.00,622.00,601.00,622.00,+13.00
110/03/04,609.00,611.00,601.00,601.00,-21.00
110/03/05,588.00,605.00,584.00,601.00, 0.00
110/03/08,608.00,610.00,598.00,598.00,-3.00
110/03/09,585.00,595.00,585.00,595.00,-3.00
110/03/10,601.00,601.00,593.00,597.00,+2.00
110/03/11,596.00,612.00,595.00,609.00,+12.00
110/03/12,615.00,618.00,609.00,614.00,+5.00
110/03/15,614.00,614.00,609.00,611.00,-3.00
110/03/16,610.00,613.00,607.00,613.00,+2.00
110/03/18,606.00,609.00,602.00,602.00,-2.00
110/03/19,594.00,598.00,591.00,591.00,-11.00
110/03/22,588.00,598.00,586.00,593.00,+2.00
110/03/23,597.00,603.00,593.00,594.00,+1.00
110/03/24,571.00,582.00,571.00,576.00,-18.00
110/03/25,572.00,581.00,570.00,575.00,-1.00
110/03/26,582.00,592.00,580.00,590.00,+15.00
110/03/29,599.00,602.00,596.00,599.00,+9.00
110/03/30,600.00,600.00,592.00,597.00,-2.00
110/03/31,596.00,597.00,587.00,587.00,-10.00
110/04/01,598.00,602.00,594.00,602.00,+15.00
110/04/06,615.00,616.00,608.00,610.00,+8.00
110/04/07,614.00,614.00,608.00,610.00, 0.00
110/04/08,606.00,613.00,603.00,613.00,+3.00
110/04/09,618.00,618.00,609.00,610.00,-3.00
110/04/12,612.00,613.00,603.00,605.00,-5.00
110/04/13,604.00,613.00,604.00,605.00, 0.00
110/04/14,608.00,612.00,600.00,612.00,+7.00
110/04/15,612.00,619.00,607.00,619.00,+7.00
110/04/16,610.00,611.00,603.00,610.00,-9.00
110/04/19,605.00,607.00,601.00,603.00,-7.00
110/04/20,598.00,602.00,595.00,602.00,-1.00
110/04/21,599.00,599.00,592.00,592.00,-10.00
110/04/22,596.00,598.00,591.00,591.00,-1.00
110/04/23,592.00,602.00,590.00,602.00,+11.00
110/04/26,605.00,610.00,603.00,610.00,+8.00
110/04/27,608.00,611.00,605.00,610.00, 0.00
110/04/28,606.00,608.00,601.00,602.00,-8.00
110/04/29,609.00,609.00,600.00,600.00,-2.00
110/05/03,595.00,597.00,588.00,588.00,-12.00
110/05/04,588.00,594.00,582.00,591.00,+3.00
110/05/05,594.00,594.00,585.00,585.00,-6.00
110/05/06,590.00,590.00,580.00,587.00,+2.00
110/05/07,594.00,600.00,589.00,599.00,+12.00
110/05/10,596.00,597.00,588.00,589.00,-10.00
110/05/11,579.00,580.00,570.00,571.00,-18.00
110/05/12,567.00,571.00,518.00,560.00,-11.00
110/05/13,547.00,563.00,541.00,547.00,-13.00
110/05/14,556.00,562.00,552.00,557.00,+10.00
110/05/17,544.00,558.00,541.00,549.00,-8.00
110/05/18,563.00,573.00,555.00,572.00,+23.00
110/05/19,571.00,572.00,565.00,567.00,-5.00
110/05/20,567.00,571.00,560.00,567.00, 0.00
110/05/21,572.00,577.00,568.00,573.00,+6.00
110/05/24,570.00,572.00,566.00,568.00,-5.00
110/05/25,576.00,584.00,573.00,583.00,+15.00
110/05/26,587.00,588.00,581.00,585.00,+2.00
110/05/27,580.00,582.00,573.00,582.00,-3.00
110/05/28,587.00,592.00,582.00,590.00,+8.00
110/05/31,595.00,597.00,590.00,597.00,+7.00
110/06/01,598.00,599.00,595.00,598.00,+1.00
110/06/02,600.00,600.00,593.00,595.00,-3.00
110/06/03,600.00,600.00,596.00,596.00,+1.00
110/06/04,591.00,595.00,590.00,595.00,-1.00
110/06/07,594.00,595.00,583.00,592.00,-3.00
110/06/08,590.00,595.00,588.00,589.00,-3.00
110/06/09,586.00,588.00,583.00,586.00,-3.00
110/06/10,591.00,599.00,587.00,599.00,+13.00
110/06/11,602.00,603.00,600.00,602.00,+3.00
110/06/15,607.00,609.00,606.00,609.00,+7.00
110/06/16,608.00,608.00,605.00,605.00,-4.00
110/06/18,608.00,608.00,601.00,603.00,-3.00
110/06/21,590.00,594.00,583.00,583.00,-20.00
110/06/22,585.00,588.00,578.00,578.00,-5.00
110/06/23,583.00,598.00,581.00,595.00,+17.00
110/06/24,598.00,598.00,588.00,590.00,-5.00
110/06/25,598.00,598.00,589.00,591.00,+1.00
110/06/28,590.00,590.00,586.00,590.00,-1.00
110/06/29,598.00,598.00,591.00,595.00,+5.00
110/06/30,599.00,599.00,595.00,595.00, 0.00
110/07/01,596.00,597.00,591.00,593.00,-2.00
110/07/02,590.00,593.00,587.00,588.00,-5.00
110/07/05,588.00,597.00,588.00,591.00,+3.00
110/07/06,595.00,596.00,589.00,592.00,+1.00
110/07/07,590.00,594.00,588.00,594.00,+2.00
110/07/08,595.00,595.00,588.00,588.00,-6.00
110/07/09,582.00,585.00,580.00,584.00,-4.00
110/07/12,595.00,597.00,590.00,593.00,+9.00
110/07/13,600.00,608.00,599.00,607.00,+14.00
110/07/14,613.00,615.00,608.00,613.00,+6.00
110/07/15,613.00,614.00,608.00,614.00,+1.00
110/07/16,591.00,595.00,588.00,589.00,-25.00
110/07/19,583.00,584.00,578.00,582.00,-7.00
110/07/20,579.00,584.00,579.00,581.00,-1.00
110/07/21,586.00,586.00,580.00,585.00,+4.00
110/07/22,589.00,594.00,587.00,591.00,+6.00
110/07/23,592.00,592.00,583.00,585.00,-6.00
110/07/26,591.00,591.00,580.00,580.00,-5.00
110/07/27,581.00,584.00,580.00,580.00, 0.00
110/07/28,576.00,579.00,573.00,579.00,-1.00
110/07/29,585.00,585.00,577.00,583.00,+4.00
110/07/30,581.00,582.00,578.00,580.00,-3.00
110/08/02,583.00,590.00,580.00,590.00,+10.00
110/08/03,594.00,594.00,590.00,594.00,+4.00
110/08/04,598.00,598.00,594.00,596.00,+2.00
110/08/05,598.00,598.00,593.00,596.00, 0.00
110/08/06,596.00,596.00,588.00,591.00,-5.00
110/08/09,590.00,595.00,583.00,595.00,+4.00
110/08/10,596.00,596.00,589.00,591.00,-4.00
110/08/11,590.00,590.00,585.00,590.00,-1.00
110/08/12,586.00,588.00,584.00,586.00,-4.00
110/08/13,585.00,585.00,579.00,581.00,-5.00
110/08/16,582.00,586.00,578.00,584.00,+3.00
110/08/17,580.00,582.00,578.00,580.00,-4.00
110/08/18,568.00,575.00,566.00,574.00,-6.00
110/08/19,573.00,573.00,559.00,559.00,-15.00
