,,,,,,,,,112年09月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
112/09/01,"3,298,119","415,112,581",125.50,126.30,125.10,125.90,+0.20,"5,596",
112/09/04,"3,707,169","468,203,099",125.90,126.80,125.60,126.75,+0.85,"7,338",
112/09/05,"3,941,418","497,786,566",126.55,126.60,126.05,126.45,-0.30,"8,573",
112/09/06,"7,625,626","961,803,907",126.60,126.70,125.85,126.00,-0.45,"9,559",
112/09/07,"6,411,794","801,664,974",125.30,125.50,124.70,124.85,-1.15,"17,083",
112/09/08,"6,199,055","769,574,529",124.10,124.50,123.85,124.30,-0.55,"14,188",
112/09/11,"9,428,969","1,166,557,903",124.45,124.50,123.40,123.80,-0.50,"24,971",
112/09/12,"2,805,462","349,339,590",124.10,125.05,123.85,125.05,+1.25,"6,181",
112/09/13,"3,406,028","426,207,684",125.20,125.60,124.70,125.20,+0.15,"6,039",
112/09/14,"7,617,917","963,664,074",125.90,126.95,125.55,126.95,+1.75,"8,115",
112/09/15,"6,105,752","776,049,821",127.00,127.35,126.75,127.35,+0.40,"9,240",
112/09/18,"7,560,656","953,950,294",126.60,126.60,125.85,126.00,-1.35,"12,370",
112/09/19,"4,357,933","547,352,485",125.85,126.05,125.35,125.45,-0.55,"8,893",
112/09/20,"6,502,123","811,431,441",125.05,125.20,124.50,124.75,-0.70,"13,555",
112/09/21,"23,194,776","2,852,690,919",123.80,123.85,122.65,122.75,-2.00,"42,629",
112/09/22,"10,344,025","1,266,304,522",122.45,122.80,122.05,122.65,-0.10,"17,251",
112/09/25,"4,337,416","534,903,153",122.75,123.75,122.75,123.55,+0.90,"9,173",
112/09/26,"11,388,965","1,392,938,598",122.65,123.00,122.00,122.10,-1.45,"27,278",
112/09/27,"7,068,444","862,259,747",121.85,122.30,121.55,122.15,+0.05,"11,732",
112/09/28,"5,881,478","720,853,929",122.75,123.15,122.05,122.65,+0.50,"8,062",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
