,,,,,,,,,110年11月 2317 鴻海             各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/11/01,"18,216,191","1,951,366,670",108.00,108.00,106.50,106.50,-0.50,"8,368",
110/11/02,"21,351,175","2,302,658,025",107.00,108.50,107.00,107.50,+1.00,"10,361",
110/11/03,"12,336,039","1,330,768,535",107.50,108.50,107.50,107.50, 0.00,"6,756",
110/11/04,"11,377,672","1,229,646,696",108.50,108.50,107.50,108.00,+0.50,"6,193",
110/11/05,"17,741,997","1,921,456,453",108.00,109.00,107.50,109.00,+1.00,"9,600",
110/11/08,"20,910,258","2,243,805,853",107.50,108.00,107.00,107.50,-1.50,"11,664",
110/11/09,"23,994,381","2,581,028,511",107.50,108.00,107.00,108.00,+0.50,"10,776",
110/11/10,"22,997,778","2,501,611,468",108.00,109.50,107.50,109.00,+1.00,"12,303",
110/11/11,"18,767,739","2,023,469,603",108.50,109.00,107.50,107.50,-1.50,"9,980",
110/11/12,"26,736,055","2,906,574,566",108.50,109.50,108.00,109.00,+1.50,"10,665",
110/11/15,"25,873,466","2,817,874,176",109.00,110.00,108.00,108.00,-1.00,"11,776",
110/11/16,"16,174,955","1,751,338,074",108.50,109.00,108.00,108.00, 0.00,"8,537",
110/11/17,"34,385,746","3,691,148,900",108.50,108.50,106.50,107.00,-1.00,"19,788",
110/11/18,"30,585,311","3,268,987,325",107.00,107.50,106.50,107.00, 0.00,"14,109",
110/11/19,"20,981,372","2,244,077,950",107.50,108.00,106.50,106.50,-0.50,"13,079",
110/11/22,"17,929,580","1,914,281,840",107.00,107.50,106.50,106.50, 0.00,"8,752",
110/11/23,"22,502,493","2,389,716,981",106.50,107.00,106.00,106.00,-0.50,"13,646",
110/11/24,"30,255,836","3,184,629,206",106.00,106.50,104.50,105.50,-0.50,"21,337",
110/11/25,"17,940,754","1,893,470,344",106.50,106.50,105.00,105.00,-0.50,"10,674",
110/11/26,"24,721,253","2,569,062,256",105.00,105.00,103.50,103.50,-1.50,"21,640",
110/11/29,"28,063,125","2,910,115,330",103.00,105.50,102.50,103.50, 0.00,"16,158",
110/11/30,"50,063,743","5,204,093,799",104.00,105.50,103.00,103.50, 0.00,"14,807",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
