,,,,,,,,,110年01月 2885 元大金           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/01/04,"27,263,073","557,110,187",20.45,20.60,20.25,20.45,-0.10,"6,932",
110/01/05,"21,051,766","431,131,926",20.45,20.60,20.35,20.55,+0.10,"5,599",
110/01/06,"51,827,227","1,075,666,270",20.50,21.15,20.45,20.65,+0.10,"11,936",
110/01/07,"44,988,513","946,056,269",20.80,21.25,20.80,21.00,+0.35,"9,764",
110/01/08,"47,230,107","1,002,155,544",21.25,21.50,21.00,21.35,+0.35,"10,821",
110/01/11,"52,662,109","1,144,785,494",21.30,22.00,21.25,21.90,+0.55,"13,667",
110/01/12,"43,926,627","946,170,593",22.10,22.10,21.25,21.25,-0.65,"14,402",
110/01/13,"35,587,885","760,820,692",21.35,21.50,21.25,21.40,+0.15,"9,018",
110/01/14,"32,068,801","678,319,293",21.40,21.40,21.05,21.20,-0.20,"9,983",
110/01/15,"34,712,755","729,498,896",21.25,21.35,20.90,21.00,-0.20,"8,815",
110/01/18,"34,908,025","725,594,868",21.00,21.00,20.65,21.00, 0.00,"8,921",
110/01/19,"23,127,153","491,126,968",21.00,21.40,20.95,21.30,+0.30,"5,420",
110/01/20,"38,741,942","806,760,472",21.30,21.30,20.55,20.65,-0.65,"12,094",
110/01/21,"29,264,752","613,870,212",20.75,21.10,20.70,21.00,+0.35,"7,408",
110/01/22,"31,360,322","651,633,336",21.00,21.00,20.65,20.75,-0.25,"6,089",
110/01/25,"23,381,203","485,234,449",20.75,20.90,20.55,20.85,+0.10,"5,297",
110/01/26,"29,129,231","605,501,932",20.85,20.95,20.70,20.70,-0.15,"6,977",
110/01/27,"27,622,019","573,349,059",20.85,21.05,20.65,20.65,-0.05,"8,561",
110/01/28,"26,672,487","541,587,650",20.45,20.50,20.15,20.30,-0.35,"9,160",
110/01/29,"36,025,139","724,741,912",20.35,20.45,19.90,19.90,-0.40,"8,084",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
